"treeID","Z","npoints","convhull_area","area","perimeter","max_area_conifer","avg_area_conifer","max_perimeter_conifer","avg_perimeter_conifer","crown_diameter_hull_conifer","AGB_conifer","tree_height_crown_diameter"
1,24.61,14,1.938,1.93774999992456,5.96963342005816,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,5.96963342005816,913.700936199683,146.912678467631
2,24.17,43,10.516,10.5160500002094,14.2691657674,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,14.2691657674,4209.26853379755,344.885736598059
3,23.9,62,21.807,21.806600000069,18.1239401110772,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,18.1239401110772,6329.54357727276,433.162168654746
4,23.79,14,3.189,3.18929999996908,7.56433416524703,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.56433416524703,1313.75257370914,179.955509791227
5,23.75,25,3.859,3.85889999993378,8.20916473134106,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,8.20916473134106,1516.35536080095,194.96766236935
6,23.71,38,15.307,15.3070499999449,15.4137302454413,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,15.4137302454413,4669.28438996726,365.459544119412
7,23.66,48,13.73,13.729699999938,15.3153798070939,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,15.3153798070939,4598.67862620072,362.361886235841
8,23.64,40,9.512,9.51225000037812,12.3579907050733,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,12.3579907050733,3127.40133175845,292.142900267933
9,23.63,54,20.382,20.3820500001311,18.5499810549044,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,18.5499810549044,6465.51075237197,438.336052327391
10,23.61,31,5.681,5.68055000028107,9.13439089208791,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,9.13439089208791,1816.461729269,215.662968962195
11,23.59,35,8.457,8.45714999991469,11.6274804219458,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,11.6274804219458,2793.63866608553,274.292263153702
12,23.53,69,24.828,24.8275000004141,20.2469325614375,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,20.2469325614375,7505.06135799539,476.410323170623
13,23.5,12,1.229,1.22899999993388,5.08636297695075,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,5.08636297695075,631.609412533566,119.529529958343
14,23.49,41,8.108,8.10754999984056,14.1269974378242,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,14.1269974378242,3928.60011862002,331.843169814491
15,23.49,70,15.856,15.856000000058,15.3894295852868,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,15.3894295852868,4579.06575996179,361.497700958388
16,23.41,64,19.078,19.0780999998096,18.6819681591897,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,18.6819681591897,6439.36434227356,437.344874606631
17,23.41,21,5.117,5.11664999992354,8.93742642694915,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,8.93742642694915,1720.5481609184,209.22515265488
18,23.41,38,10.914,10.914349999628,12.4724786870359,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,12.4724786870359,3124.29442768455,291.98072606351
19,23.38,23,7.278,7.27825000003213,11.173956371354,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,11.173956371354,2560.29560341412,261.247099962255
20,23.29,18,2.347,2.34740000001329,6.01572436762353,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,6.01572436762353,839.318396755228,140.106220521952
21,23.29,21,3.9,3.90009999991162,9.28667915164407,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,9.28667915164407,1825.87708762437,216.28675744179
22,23.28,27,5.542,5.5418499999214,9.80942688091237,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,9.80942688091237,2012.37816750455,228.36345778764
23,23.21,44,11.55,11.5495500002289,13.3174888885274,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,13.3174888885274,3459.73201288374,309.09891710272
24,23.21,4,0.186,0.18650000001071,2.31286578301038,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,2.31286578301038,150.71474312687,53.6816148236709
25,23.2,34,5.966,5.96575000020675,11.1165214520045,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,11.1165214520045,2501.93375870379,257.903297686505
26,23.17,9,1.942,1.94185000006109,6.22512109583317,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,6.22512109583317,884.117799986268,144.236055790455
27,23.17,31,6.426,6.42575000051875,10.8468492580801,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,10.8468492580801,2388.79574829066,251.321497309716
28,23.11,40,13.248,13.2478500005091,16.5594147641257,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,16.5594147641257,5070.61209980797,382.688075198945
29,23.08,58,12.456,12.4558999996516,15.5267427153883,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,15.5267427153883,4508.10365173846,358.357221871162
30,23.08,16,2.159,2.15875000006054,7.20403201146309,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.20403201146309,1140.30345281026,166.269058824568
31,23.07,24,5.742,5.74159999989206,10.1374118295778,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,10.1374118295778,2100.06457817889,233.870090908361
32,23.05,11,0.936,0.936450000008335,3.78322091072608,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,3.78322091072609,359.187632234784,87.2032419922363
33,23.01,47,10.466,10.4663500000024,12.3864007766573,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,12.3864007766573,2992.06132886809,285.011081870884
35,22.98,81,30.175,30.1754000002984,21.0813103550797,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,21.0813103550797,7733.23513688125,484.448511959732
36,22.96,23,6.54,6.53960000001825,10.5970092330694,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,10.5970092330694,2254.16533173434,243.307331991274
37,22.95,68,22.494,22.4940000001225,17.8587431831217,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,17.8587431831217,5733.00177227626,409.858156052642
38,22.94,57,24.043,24.0426500004251,19.2929369133876,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,19.2929369133876,6577.99003033729,442.579972793112
39,22.94,35,8.235,8.23479999988922,12.006325206452,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,12.006325206452,2814.32506398645,275.425100236009
40,22.93,37,7.957,7.95660000003409,11.7592804841007,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,11.7592804841007,2709.39773769982,269.640301500428
41,22.93,15,2.345,2.34494999994058,6.46205147585663,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,6.46205147585663,927.799773560291,148.174840341393
42,22.92,25,5.9,5.89990000001853,9.73285232300299,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,9.73285232300299,1929.75405391681,223.076975243228
43,22.91,13,2.159,2.15889999983483,6.31134495911433,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,6.31134495911433,888.037095083738,144.592913013309
44,22.9,35,8.843,8.84259999971255,12.1019081371516,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,12.1019081371516,2845.65255461975,277.133696340773
45,22.9,13,2.793,2.79304999997839,7.1856879182269,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,7.1856879182269,1119.31371953448,164.552253327396
46,22.89,30,5.064,5.06385000018054,8.60722736548324,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,8.60722736548324,1545.03810988728,197.019434395911
47,22.89,8,0.53,0.529950000025565,4.06167834708006,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,4.06167834708006,402.825382423852,92.9718173646625
48,22.87,57,10.509,10.5090500001097,12.6237420692199,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,12.6237420692199,3061.83032672223,288.704981123059
49,22.86,59,40.952,40.9521500002593,31.0920281398576,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,31.0920281398576,15358.7620647862,710.763763277145
50,22.86,24,5.167,5.167399999802,9.16448957098914,83.7045999988914,4.92768505291077,42.0553040402292,8.19420746589663,9.16448957098914,1724.59940837671,209.500231592812
